n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,rmse
800,0.03,5,1,1.0,0.8,21.651169550095318
800,0.03,5,1,1.0,1.0,21.83563685236077
800,0.03,5,5,0.8,0.8,21.553780286434318
800,0.03,5,5,0.8,1.0,21.603404716563823
800,0.03,5,5,1.0,0.8,21.491730819762978
800,0.03,5,5,1.0,1.0,21.622661286498058
800,0.03,5,10,0.8,0.8,21.608203554667305
800,0.03,5,10,0.8,1.0,21.487487160629865
800,0.03,5,10,1.0,0.8,21.492499407483095
800,0.03,5,10,1.0,1.0,21.711828641446218
800,0.03,7,1,0.8,0.8,20.907168825982662
800,0.03,7,1,0.8,1.0,21.167212008338556
800,0.03,7,1,1.0,0.8,21.247386029538987
800,0.03,7,1,1.0,1.0,21.279648944871923
800,0.03,7,5,0.8,0.8,20.98199470121486
800,0.03,7,5,0.8,1.0,21.03731783034633
800,0.03,7,5,1.0,0.8,21.112731784446062
800,0.03,7,5,1.0,1.0,21.225905616202038
800,0.03,7,10,0.8,0.8,20.970306886061255
800,0.03,7,10,0.8,1.0,20.70816302619918
800,0.03,7,10,1.0,0.8,21.02934160576747
800,0.03,7,10,1.0,1.0,20.988937368810376
800,0.05,3,1,0.8,0.8,21.6387242532031
800,0.05,3,1,0.8,1.0,21.55931820480909
800,0.05,3,1,1.0,0.8,21.629688859447732
800,0.05,3,1,1.0,1.0,21.691240349761213
800,0.05,3,5,0.8,0.8,21.434209911638938
800,0.05,3,5,0.8,1.0,21.46361671651165
800,0.05,3,5,1.0,0.8,21.692894563971823
800,0.05,3,5,1.0,1.0,21.580648044859004
800,0.05,3,10,0.8,0.8,21.643163880129148
800,0.05,3,10,0.8,1.0,21.56660502810298
800,0.05,3,10,1.0,0.8,21.67305313852045
800,0.05,3,10,1.0,1.0,21.672772674988547
800,0.05,5,1,0.8,0.8,20.931284875506826
800,0.05,5,1,0.8,1.0,21.162972338516433
800,0.05,5,1,1.0,0.8,21.4151583626773
800,0.05,5,1,1.0,1.0,21.254418699865965
800,0.05,5,5,0.8,0.8,21.18846750072947
800,0.05,5,5,0.8,1.0,21.347097706674262
800,0.05,5,5,1.0,0.8,21.25815210666289
800,0.05,5,5,1.0,1.0,21.233494571906327
800,0.05,5,10,0.8,0.8,21.248869682179876
